gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Mrs,Katie,Hudson,362,Ranchview Dr,Bernalillo,Colorado,United States,50987,1.2314,-123.2017,+4:30,Kabul,katie.hudson@example.com,1991-12-16T01:46:42.970Z,30,2019-08-27T22:59:49.543Z,2,(470)-425-1772,(845)-841-4190,SSN,686-57-8173,https://randomuser.me/api/portraits/women/95.jpg,https://randomuser.me/api/portraits/med/women/95.jpg,https://randomuser.me/api/portraits/thumb/women/95.jpg,US
male,Mr,Bradley,Gilbert,9777,Northaven Rd,Mckinney,North Dakota,United States,59425,-40.1319,-54.8052,-2:00,Mid-Atlantic,bradley.gilbert@example.com,1946-03-06T15:57:04.465Z,75,2014-12-05T01:12:52.946Z,7,(237)-584-6457,(971)-390-8993,SSN,539-97-4040,https://randomuser.me/api/portraits/men/28.jpg,https://randomuser.me/api/portraits/med/men/28.jpg,https://randomuser.me/api/portraits/thumb/men/28.jpg,US
female,Miss,Christina,Hamilton,6385,Prospect Rd,Port St. Lucie,West Virginia,United States,18813,10.5333,82.9253,-3:30,Newfoundland,christina.hamilton@example.com,1983-01-22T19:53:29.189Z,38,2005-02-18T04:29:14.574Z,16,(380)-417-6344,(791)-903-9951,SSN,156-37-6490,https://randomuser.me/api/portraits/women/56.jpg,https://randomuser.me/api/portraits/med/women/56.jpg,https://randomuser.me/api/portraits/thumb/women/56.jpg,US
female,Ms,Delores,Long,5937,Camden Ave,Ventura,Oklahoma,United States,39462,-3.4466,91.2148,+5:45,Kathmandu,delores.long@example.com,1989-04-23T08:45:32.947Z,32,2017-06-01T14:22:48.203Z,4,(533)-617-2738,(166)-006-3941,SSN,790-90-6486,https://randomuser.me/api/portraits/women/73.jpg,https://randomuser.me/api/portraits/med/women/73.jpg,https://randomuser.me/api/portraits/thumb/women/73.jpg,US
male,Mr,Miguel,Alvarez,2919,W Sherman Dr,Las Cruces,New Hampshire,United States,21073,74.1979,-36.4040,-8:00,Pacific Time (US & Canada),miguel.alvarez@example.com,1958-06-09T19:50:52.999Z,63,2005-04-05T18:27:16.951Z,16,(092)-964-3457,(871)-136-9847,SSN,707-40-1152,https://randomuser.me/api/portraits/men/73.jpg,https://randomuser.me/api/portraits/med/men/73.jpg,https://randomuser.me/api/portraits/thumb/men/73.jpg,US
male,Mr,Adam,Richardson,5735,Photinia Ave,Vallejo,Montana,United States,29378,66.6764,123.3761,-7:00,Mountain Time (US & Canada),adam.richardson@example.com,1958-05-30T14:01:14.539Z,63,2016-04-09T06:53:33.543Z,5,(732)-118-7689,(047)-430-4472,SSN,776-88-8692,https://randomuser.me/api/portraits/men/43.jpg,https://randomuser.me/api/portraits/med/men/43.jpg,https://randomuser.me/api/portraits/thumb/men/43.jpg,US
female,Miss,Joann,Hicks,3597,Daisy Dr,North Las Vegas,Minnesota,United States,56434,-14.0766,-89.0662,+3:30,Tehran,joann.hicks@example.com,1955-04-09T18:59:25.415Z,66,2009-02-24T16:57:29.974Z,12,(968)-417-4951,(708)-615-5144,SSN,312-72-3276,https://randomuser.me/api/portraits/women/14.jpg,https://randomuser.me/api/portraits/med/women/14.jpg,https://randomuser.me/api/portraits/thumb/women/14.jpg,US
female,Miss,Lisa,Lopez,5820,Fincher Rd,Mesa,Michigan,United States,50283,20.1853,-14.3539,-3:30,Newfoundland,lisa.lopez@example.com,1951-07-23T02:10:00.320Z,70,2009-06-24T08:55:59.941Z,12,(343)-001-2399,(242)-422-9822,SSN,022-81-4709,https://randomuser.me/api/portraits/women/95.jpg,https://randomuser.me/api/portraits/med/women/95.jpg,https://randomuser.me/api/portraits/thumb/women/95.jpg,US
female,Mrs,Anna,Wagner,8005,Locust Rd,Elizabeth,Minnesota,United States,64110,-36.4645,-113.8735,-8:00,Pacific Time (US & Canada),anna.wagner@example.com,1979-04-26T17:33:29.842Z,42,2008-03-31T12:18:48.455Z,13,(927)-187-9802,(718)-031-1944,SSN,606-73-1582,https://randomuser.me/api/portraits/women/49.jpg,https://randomuser.me/api/portraits/med/women/49.jpg,https://randomuser.me/api/portraits/thumb/women/49.jpg,US
female,Mrs,Terri,Allen,2699,Harrison Ct,Fairfield,Wyoming,United States,13557,-25.2655,-127.8287,+3:30,Tehran,terri.allen@example.com,1989-04-06T14:32:55.833Z,32,2009-11-18T13:13:13.720Z,12,(727)-130-7439,(007)-951-1522,SSN,329-90-8509,https://randomuser.me/api/portraits/women/96.jpg,https://randomuser.me/api/portraits/med/women/96.jpg,https://randomuser.me/api/portraits/thumb/women/96.jpg,US
