gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Johnni,Perez,4113,Homestead Rd,Gresham,Nevada,United States,81495,40.2586,-164.8293,-3:30,Newfoundland,johnni.perez@example.com,1993-04-08T05:26:49.772Z,28,2013-02-15T20:14:35.961Z,8,(879)-529-2462,(238)-482-3089,SSN,837-87-4881,https://randomuser.me/api/portraits/men/24.jpg,https://randomuser.me/api/portraits/med/men/24.jpg,https://randomuser.me/api/portraits/thumb/men/24.jpg,US
female,Miss,Pauline,Kim,5218,Spring St,Jersey City,North Dakota,United States,24228,33.0287,-151.4968,+3:30,Tehran,pauline.kim@example.com,1952-04-08T20:22:03.271Z,69,2002-06-28T05:23:51.784Z,19,(034)-459-0365,(162)-876-1186,SSN,370-40-6346,https://randomuser.me/api/portraits/women/81.jpg,https://randomuser.me/api/portraits/med/women/81.jpg,https://randomuser.me/api/portraits/thumb/women/81.jpg,US
female,Mrs,Krin,Peterson,9234,Avondale Ave,Elgin,Oklahoma,United States,25619,-31.2116,-130.6526,-10:00,Hawaii,krin.peterson@example.com,1972-04-28T12:52:47.094Z,49,2010-09-16T13:15:21.868Z,11,(688)-264-3337,(306)-750-7388,SSN,640-95-0566,https://randomuser.me/api/portraits/women/25.jpg,https://randomuser.me/api/portraits/med/women/25.jpg,https://randomuser.me/api/portraits/thumb/women/25.jpg,US
female,Ms,Laurie,Mckinney,4406,Cherry St,Anna,West Virginia,United States,38705,48.0294,113.6101,-8:00,Pacific Time (US & Canada),laurie.mckinney@example.com,1969-04-03T21:24:55.488Z,52,2013-01-03T17:38:00.479Z,8,(662)-917-2971,(559)-127-6027,SSN,085-01-2812,https://randomuser.me/api/portraits/women/53.jpg,https://randomuser.me/api/portraits/med/women/53.jpg,https://randomuser.me/api/portraits/thumb/women/53.jpg,US
female,Ms,Alma,Bowman,6947,W Belt Line Rd,Murrieta,Indiana,United States,39564,-43.9511,25.2928,-3:30,Newfoundland,alma.bowman@example.com,1963-03-27T12:40:42.899Z,58,2006-02-01T12:47:03.469Z,15,(888)-709-9573,(417)-551-2998,SSN,220-83-7906,https://randomuser.me/api/portraits/women/5.jpg,https://randomuser.me/api/portraits/med/women/5.jpg,https://randomuser.me/api/portraits/thumb/women/5.jpg,US
male,Mr,Felix,Chapman,6828,Brown Terrace,Forney,New Jersey,United States,28703,31.0313,-102.1292,-3:30,Newfoundland,felix.chapman@example.com,1945-09-29T19:44:57.633Z,76,2005-07-18T19:25:19.530Z,16,(247)-860-3937,(246)-396-9660,SSN,986-05-3312,https://randomuser.me/api/portraits/men/29.jpg,https://randomuser.me/api/portraits/med/men/29.jpg,https://randomuser.me/api/portraits/thumb/men/29.jpg,US
female,Miss,Cassandra,Cruz,8993,Green Rd,Charleston,Maryland,United States,88949,25.2224,71.1932,+5:45,Kathmandu,cassandra.cruz@example.com,1991-10-25T02:49:23.433Z,30,2009-07-24T17:15:40.718Z,12,(143)-588-6165,(921)-128-1544,SSN,283-02-3278,https://randomuser.me/api/portraits/women/59.jpg,https://randomuser.me/api/portraits/med/women/59.jpg,https://randomuser.me/api/portraits/thumb/women/59.jpg,US
female,Ms,Alexa,Porter,8560,Dogwood Ave,Houston,New Mexico,United States,97077,37.9705,123.7774,+3:30,Tehran,alexa.porter@example.com,1965-01-12T01:49:04.562Z,56,2010-05-30T11:45:14.104Z,11,(203)-449-8428,(756)-648-5094,SSN,135-56-9770,https://randomuser.me/api/portraits/women/50.jpg,https://randomuser.me/api/portraits/med/women/50.jpg,https://randomuser.me/api/portraits/thumb/women/50.jpg,US
female,Ms,Serenity,Marshall,5429,N Stelling Rd,Houston,Colorado,United States,30720,65.8271,-69.8124,-3:30,Newfoundland,serenity.marshall@example.com,1986-04-26T06:24:57.527Z,35,2013-08-06T11:43:02.827Z,8,(823)-721-4095,(682)-574-9385,SSN,057-60-2406,https://randomuser.me/api/portraits/women/34.jpg,https://randomuser.me/api/portraits/med/women/34.jpg,https://randomuser.me/api/portraits/thumb/women/34.jpg,US
male,Mr,Jerry,Hunt,1271,College St,Huntington Beach,Wyoming,United States,62041,-58.7937,-18.4665,-10:00,Hawaii,jerry.hunt@example.com,1947-04-01T07:45:09.433Z,74,2010-02-23T00:38:40.963Z,11,(361)-117-4525,(578)-660-2943,SSN,885-58-6754,https://randomuser.me/api/portraits/men/48.jpg,https://randomuser.me/api/portraits/med/men/48.jpg,https://randomuser.me/api/portraits/thumb/men/48.jpg,US
