gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Ms,Pearl,Sanchez,283,Smokey Ln,Saginaw,Wisconsin,United States,19446,28.2800,-89.3055,-9:00,Alaska,pearl.sanchez@example.com,1991-04-06T10:00:58.762Z,30,2002-09-06T16:32:36.272Z,19,(222)-117-8952,(995)-235-5576,SSN,862-59-2717,https://randomuser.me/api/portraits/women/77.jpg,https://randomuser.me/api/portraits/med/women/77.jpg,https://randomuser.me/api/portraits/thumb/women/77.jpg,US
male,Mr,Warren,Richardson,681,Ranchview Dr,Santa Clara,West Virginia,United States,37027,-28.6689,-38.1933,-9:00,Alaska,warren.richardson@example.com,1981-07-15T20:33:27.433Z,40,2019-06-07T08:53:59.837Z,2,(581)-205-9965,(417)-103-4272,SSN,141-23-7131,https://randomuser.me/api/portraits/men/91.jpg,https://randomuser.me/api/portraits/med/men/91.jpg,https://randomuser.me/api/portraits/thumb/men/91.jpg,US
female,Mrs,Crystal,Peck,6639,Stevens Creek Blvd,Killeen,Nevada,United States,44973,-54.4499,34.8538,-9:00,Alaska,crystal.peck@example.com,1948-06-28T09:04:34.276Z,73,2009-08-16T14:15:25.979Z,12,(403)-245-9850,(703)-738-6882,SSN,438-45-1416,https://randomuser.me/api/portraits/women/51.jpg,https://randomuser.me/api/portraits/med/women/51.jpg,https://randomuser.me/api/portraits/thumb/women/51.jpg,US
female,Miss,Carmen,Woods,6575,Hunters Creek Dr,Peoria,Indiana,United States,19829,-63.9396,-7.4498,+4:30,Kabul,carmen.woods@example.com,1983-08-30T11:03:18.348Z,38,2018-09-09T06:46:51.093Z,3,(843)-185-1519,(123)-691-5843,SSN,408-37-0592,https://randomuser.me/api/portraits/women/90.jpg,https://randomuser.me/api/portraits/med/women/90.jpg,https://randomuser.me/api/portraits/thumb/women/90.jpg,US
female,Mrs,Regina,Burns,1122,Marsh Ln,Los Lunas,West Virginia,United States,17400,-10.3178,139.6101,-2:00,Mid-Atlantic,regina.burns@example.com,1949-09-05T03:38:35.914Z,72,2005-11-15T04:15:02.813Z,16,(130)-967-4108,(572)-343-5387,SSN,778-49-3001,https://randomuser.me/api/portraits/women/25.jpg,https://randomuser.me/api/portraits/med/women/25.jpg,https://randomuser.me/api/portraits/thumb/women/25.jpg,US
female,Miss,Anita,Perkins,4983,Spring St,Chula Vista,Maryland,United States,30986,79.2625,154.7084,-2:00,Mid-Atlantic,anita.perkins@example.com,1965-08-07T18:21:25.820Z,56,2013-04-16T13:51:23.096Z,8,(820)-448-3360,(808)-443-5178,SSN,898-74-6460,https://randomuser.me/api/portraits/women/6.jpg,https://randomuser.me/api/portraits/med/women/6.jpg,https://randomuser.me/api/portraits/thumb/women/6.jpg,US
female,Ms,Naomi,Woods,8418,Green Rd,Medford,Missouri,United States,69972,76.3226,117.8912,-8:00,Pacific Time (US & Canada),naomi.woods@example.com,1958-07-03T04:45:31.222Z,63,2010-08-15T18:28:51.211Z,11,(242)-568-9870,(475)-957-7764,SSN,313-01-1961,https://randomuser.me/api/portraits/women/28.jpg,https://randomuser.me/api/portraits/med/women/28.jpg,https://randomuser.me/api/portraits/thumb/women/28.jpg,US
female,Mrs,Celina,Steeves ,3375,W 6th St,Redding,Nebraska,United States,13902,23.9442,150.5303,-3:30,Newfoundland,celina.steeves@example.com,1949-10-31T04:33:59.659Z,72,2011-12-09T13:09:03.695Z,10,(498)-593-7693,(837)-283-9050,SSN,330-12-1015,https://randomuser.me/api/portraits/women/51.jpg,https://randomuser.me/api/portraits/med/women/51.jpg,https://randomuser.me/api/portraits/thumb/women/51.jpg,US
female,Miss,Pauline,Lowe,4563,Smokey Ln,Charlotte,Delaware,United States,13325,-34.9934,173.9750,+5:45,Kathmandu,pauline.lowe@example.com,1980-01-29T05:49:14.094Z,41,2011-01-30T17:24:37.242Z,10,(423)-676-8591,(803)-086-4600,SSN,665-88-8148,https://randomuser.me/api/portraits/women/59.jpg,https://randomuser.me/api/portraits/med/women/59.jpg,https://randomuser.me/api/portraits/thumb/women/59.jpg,US
male,Mr,Juan,Brewer,7267,Fincher Rd,Alexandria,Illinois,United States,76212,-31.2482,141.4393,-2:00,Mid-Atlantic,juan.brewer@example.com,1963-03-28T21:06:04.147Z,58,2015-04-05T01:36:56.111Z,6,(126)-369-0985,(319)-577-7149,SSN,920-55-6926,https://randomuser.me/api/portraits/men/67.jpg,https://randomuser.me/api/portraits/med/men/67.jpg,https://randomuser.me/api/portraits/thumb/men/67.jpg,US
male,Mr,Brad,Matthews,1538,Shady Ln Dr,Bernalillo,Vermont,United States,70177,50.8476,-115.8963,-2:00,Mid-Atlantic,brad.matthews@example.com,1998-09-06T10:28:06.192Z,23,2019-04-19T05:00:33.241Z,2,(565)-277-2248,(353)-557-2972,SSN,060-09-2858,https://randomuser.me/api/portraits/men/78.jpg,https://randomuser.me/api/portraits/med/men/78.jpg,https://randomuser.me/api/portraits/thumb/men/78.jpg,US
male,Mr,Karl,Barrett,9347,Ash Dr,Baton Rouge,California,United States,12885,-5.6482,-42.7839,-10:00,Hawaii,karl.barrett@example.com,1963-04-19T00:48:24.936Z,58,2016-04-23T02:28:25.419Z,5,(009)-880-5064,(457)-953-3078,SSN,047-85-6486,https://randomuser.me/api/portraits/men/91.jpg,https://randomuser.me/api/portraits/med/men/91.jpg,https://randomuser.me/api/portraits/thumb/men/91.jpg,US
