gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Mrs,Victoria,Kim,8276,Lone Wolf Trail,Surprise,Maine,United States,22875,-45.4626,75.0139,-2:00,Mid-Atlantic,victoria.kim@example.com,1987-04-30T01:51:31.929Z,34,2005-10-09T20:41:18.592Z,16,(195)-994-2890,(186)-064-2892,SSN,719-32-6244,https://randomuser.me/api/portraits/women/39.jpg,https://randomuser.me/api/portraits/med/women/39.jpg,https://randomuser.me/api/portraits/thumb/women/39.jpg,US
female,Ms,Katrina,West,8283,Cackson St,Forney,Idaho,United States,83348,56.2254,-36.1870,-8:00,Pacific Time (US & Canada),katrina.west@example.com,1959-07-07T16:34:12.667Z,62,2002-08-27T09:18:58.152Z,19,(059)-035-6515,(654)-322-6495,SSN,744-46-2727,https://randomuser.me/api/portraits/women/1.jpg,https://randomuser.me/api/portraits/med/women/1.jpg,https://randomuser.me/api/portraits/thumb/women/1.jpg,US
female,Mrs,Sharlene,Taylor,7656,Hamilton Ave,Bueblo,Mississippi,United States,90247,45.9184,-38.7137,+4:30,Kabul,sharlene.taylor@example.com,1992-11-26T05:09:16.181Z,29,2007-07-15T22:48:40.178Z,14,(678)-434-2565,(715)-215-8421,SSN,543-76-9305,https://randomuser.me/api/portraits/women/78.jpg,https://randomuser.me/api/portraits/med/women/78.jpg,https://randomuser.me/api/portraits/thumb/women/78.jpg,US
male,Mr,Wade,Garza,4658,W Dallas St,Cape Coral,Wisconsin,United States,88550,-35.3413,113.0085,-2:00,Mid-Atlantic,wade.garza@example.com,1985-10-29T23:52:19.897Z,36,2003-11-13T20:05:55.151Z,18,(910)-431-4420,(203)-555-6108,SSN,913-22-4214,https://randomuser.me/api/portraits/men/56.jpg,https://randomuser.me/api/portraits/med/men/56.jpg,https://randomuser.me/api/portraits/thumb/men/56.jpg,US
male,Mr,Rick,Phillips,5528,Daisy Dr,Tulsa,Louisiana,United States,75145,39.7222,-94.2567,-9:00,Alaska,rick.phillips@example.com,1957-09-27T15:02:49.408Z,64,2012-11-27T00:17:33.320Z,9,(291)-622-5285,(917)-262-4065,SSN,987-75-8035,https://randomuser.me/api/portraits/men/18.jpg,https://randomuser.me/api/portraits/med/men/18.jpg,https://randomuser.me/api/portraits/thumb/men/18.jpg,US
female,Miss,Myrtle,Welch,2907,James St,Columbia,Georgia,United States,90177,9.7504,5.5079,-3:30,Newfoundland,myrtle.welch@example.com,1949-02-09T09:39:32.744Z,72,2005-09-28T19:16:54.230Z,16,(341)-011-8742,(769)-226-1546,SSN,599-84-8593,https://randomuser.me/api/portraits/women/5.jpg,https://randomuser.me/api/portraits/med/women/5.jpg,https://randomuser.me/api/portraits/thumb/women/5.jpg,US
female,Mrs,Erika,Pena,7899,Samaritan Dr,Raleigh,South Carolina,United States,20212,-26.8825,24.7960,-3:30,Newfoundland,erika.pena@example.com,1971-03-14T11:43:33.207Z,50,2003-03-10T15:03:11.846Z,18,(491)-735-6410,(650)-953-6107,SSN,600-12-2265,https://randomuser.me/api/portraits/women/17.jpg,https://randomuser.me/api/portraits/med/women/17.jpg,https://randomuser.me/api/portraits/thumb/women/17.jpg,US
female,Mrs,Gloria,Carroll,8742,Cherry St,Murrieta,Arizona,United States,55945,-40.1631,64.6290,+4:30,Kabul,gloria.carroll@example.com,1978-02-22T21:11:36.019Z,43,2008-01-16T13:35:37.055Z,13,(376)-968-7254,(674)-865-2402,SSN,336-27-8640,https://randomuser.me/api/portraits/women/47.jpg,https://randomuser.me/api/portraits/med/women/47.jpg,https://randomuser.me/api/portraits/thumb/women/47.jpg,US
male,Mr,Dwight,Rodriquez,6662,Sunset St,Billings,Georgia,United States,64577,18.2758,-57.3571,+4:30,Kabul,dwight.rodriquez@example.com,1992-09-20T04:28:45.547Z,29,2002-07-30T19:54:15.279Z,19,(778)-042-2583,(986)-026-6725,SSN,890-63-6075,https://randomuser.me/api/portraits/men/68.jpg,https://randomuser.me/api/portraits/med/men/68.jpg,https://randomuser.me/api/portraits/thumb/men/68.jpg,US
male,Mr,Antonio,Curtis,7317,Adams St,Roanoke,New York,United States,57281,-1.5745,-10.2742,-3:30,Newfoundland,antonio.curtis@example.com,1989-09-17T16:05:37.153Z,32,2017-07-14T01:27:15.044Z,4,(861)-192-1047,(470)-295-9377,SSN,263-00-3212,https://randomuser.me/api/portraits/men/74.jpg,https://randomuser.me/api/portraits/med/men/74.jpg,https://randomuser.me/api/portraits/thumb/men/74.jpg,US
