gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Miss,Julie,Jennings,7507,Plum St,Boise,Alabama,United States,88938,-35.6175,49.3739,-2:00,Mid-Atlantic,julie.jennings@example.com,1973-09-04T13:27:34.039Z,48,2011-07-07T23:49:49.660Z,10,(323)-475-7359,(177)-414-4656,SSN,706-57-3608,https://randomuser.me/api/portraits/women/36.jpg,https://randomuser.me/api/portraits/med/women/36.jpg,https://randomuser.me/api/portraits/thumb/women/36.jpg,US
male,Mr,Tim,Burns,4932,Country Club Rd,Amarillo,Alaska,United States,17129,-25.8390,137.2156,+5:45,Kathmandu,tim.burns@example.com,1944-10-18T01:51:09.324Z,77,2006-11-19T13:26:31.092Z,15,(449)-614-2960,(787)-197-6226,SSN,253-97-6438,https://randomuser.me/api/portraits/men/7.jpg,https://randomuser.me/api/portraits/med/men/7.jpg,https://randomuser.me/api/portraits/thumb/men/7.jpg,US
female,Ms,Jessie,Stanley,3371,E North St,Omaha,Minnesota,United States,61566,-17.7732,75.7268,-7:00,Mountain Time (US & Canada),jessie.stanley@example.com,1984-08-22T15:34:03.081Z,37,2009-09-24T01:51:41.308Z,12,(462)-705-0288,(089)-029-7233,SSN,595-02-1481,https://randomuser.me/api/portraits/women/14.jpg,https://randomuser.me/api/portraits/med/women/14.jpg,https://randomuser.me/api/portraits/thumb/women/14.jpg,US
female,Mrs,Rebecca,Miles,9209,Edwards Rd,Carrollton,Rhode Island,United States,70651,37.3520,-143.9315,+4:30,Kabul,rebecca.miles@example.com,1958-02-27T15:10:01.912Z,63,2012-10-26T23:28:31.738Z,9,(985)-547-6735,(298)-790-6895,SSN,770-21-4335,https://randomuser.me/api/portraits/women/52.jpg,https://randomuser.me/api/portraits/med/women/52.jpg,https://randomuser.me/api/portraits/thumb/women/52.jpg,US
male,Mr,Roberto,Pierce,5776,Rolling Green Rd,Salem,Vermont,United States,64098,-0.3797,-14.7336,+3:30,Tehran,roberto.pierce@example.com,1947-10-23T21:21:06.112Z,74,2011-01-24T12:11:24.836Z,10,(312)-498-5681,(471)-479-1102,SSN,181-66-7691,https://randomuser.me/api/portraits/men/3.jpg,https://randomuser.me/api/portraits/med/men/3.jpg,https://randomuser.me/api/portraits/thumb/men/3.jpg,US
female,Mrs,Jane,Sanchez,2824,Cherry St,Spokane,Iowa,United States,60496,76.0903,-108.0969,-7:00,Mountain Time (US & Canada),jane.sanchez@example.com,1990-10-23T21:33:31.422Z,31,2014-10-18T17:00:32.102Z,7,(802)-148-1875,(298)-333-0839,SSN,068-37-9353,https://randomuser.me/api/portraits/women/72.jpg,https://randomuser.me/api/portraits/med/women/72.jpg,https://randomuser.me/api/portraits/thumb/women/72.jpg,US
female,Ms,Catherine,Grant,2899,Taylor St,Tucson,Mississippi,United States,13065,-36.6045,172.0974,-2:00,Mid-Atlantic,catherine.grant@example.com,1982-07-07T11:30:30.286Z,39,2010-09-28T19:03:42.695Z,11,(393)-125-1208,(636)-439-3939,SSN,944-47-2608,https://randomuser.me/api/portraits/women/92.jpg,https://randomuser.me/api/portraits/med/women/92.jpg,https://randomuser.me/api/portraits/thumb/women/92.jpg,US
male,Mr,Howard,Chavez,6875,Prospect Rd,Yakima,Alaska,United States,62488,26.1092,107.5892,-7:00,Mountain Time (US & Canada),howard.chavez@example.com,1959-05-05T06:43:06.294Z,62,2008-01-08T08:51:31.169Z,13,(235)-919-0492,(603)-568-6253,SSN,627-34-6358,https://randomuser.me/api/portraits/men/17.jpg,https://randomuser.me/api/portraits/med/men/17.jpg,https://randomuser.me/api/portraits/thumb/men/17.jpg,US
female,Ms,Aubrey,Rodriquez,3740,Brown Terrace,Elizabeth,Ohio,United States,78623,-34.5645,122.7633,-8:00,Pacific Time (US & Canada),aubrey.rodriquez@example.com,1980-07-16T03:18:49.179Z,41,2008-04-24T14:51:50.913Z,13,(752)-261-9271,(534)-310-1694,SSN,554-03-7374,https://randomuser.me/api/portraits/women/10.jpg,https://randomuser.me/api/portraits/med/women/10.jpg,https://randomuser.me/api/portraits/thumb/women/10.jpg,US
female,Miss,Loretta,Hunt,5276,Lakeshore Rd,Allentown,Michigan,United States,45243,12.2462,-78.9369,-7:00,Mountain Time (US & Canada),loretta.hunt@example.com,1969-04-15T12:18:22.209Z,52,2002-06-08T11:34:39.979Z,19,(674)-945-0322,(794)-217-9837,SSN,799-93-5082,https://randomuser.me/api/portraits/women/39.jpg,https://randomuser.me/api/portraits/med/women/39.jpg,https://randomuser.me/api/portraits/thumb/women/39.jpg,US
