gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Ms,Tina,Wood,7295,W Dallas St,Frederick,New Jersey,United States,21712,68.0118,35.5717,-9:00,Alaska,tina.wood@example.com,1981-10-31T01:30:02.498Z,40,2009-08-13T10:26:41.154Z,12,(940)-331-5048,(030)-509-1473,SSN,213-73-7516,https://randomuser.me/api/portraits/women/5.jpg,https://randomuser.me/api/portraits/med/women/5.jpg,https://randomuser.me/api/portraits/thumb/women/5.jpg,US
male,Mr,Andy,Lee,1415,Shady Ln Dr,Lansing,Arizona,United States,73823,-18.6287,-159.5262,+4:30,Kabul,andy.lee@example.com,1986-08-07T07:44:19.992Z,35,2018-01-30T15:44:01.496Z,3,(735)-005-1903,(060)-903-1852,SSN,275-91-1032,https://randomuser.me/api/portraits/men/48.jpg,https://randomuser.me/api/portraits/med/men/48.jpg,https://randomuser.me/api/portraits/thumb/men/48.jpg,US
female,Miss,Mattie,Harris,3380,Shady Ln Dr,Allen,Virginia,United States,82701,55.3162,-154.9041,-3:30,Newfoundland,mattie.harris@example.com,1954-06-14T17:37:25.887Z,67,2013-11-02T05:53:21.401Z,8,(313)-747-9182,(046)-206-9777,SSN,725-32-9171,https://randomuser.me/api/portraits/women/38.jpg,https://randomuser.me/api/portraits/med/women/38.jpg,https://randomuser.me/api/portraits/thumb/women/38.jpg,US
male,Mr,Elijah,Gilbert,5930,First Street,Houston,Connecticut,United States,95709,-81.3260,91.2442,-2:00,Mid-Atlantic,elijah.gilbert@example.com,1990-04-30T07:39:10.454Z,31,2017-09-13T18:39:21.295Z,4,(322)-078-3670,(358)-627-1104,SSN,990-10-9061,https://randomuser.me/api/portraits/men/59.jpg,https://randomuser.me/api/portraits/med/men/59.jpg,https://randomuser.me/api/portraits/thumb/men/59.jpg,US
female,Ms,Layla,Walters,8902,Samaritan Dr,Murfreesboro,Wyoming,United States,76057,-51.6344,146.8483,-8:00,Pacific Time (US & Canada),layla.walters@example.com,1993-10-11T03:10:02.227Z,28,2012-09-06T03:53:21.502Z,9,(621)-728-7665,(311)-403-8407,SSN,956-16-4661,https://randomuser.me/api/portraits/women/4.jpg,https://randomuser.me/api/portraits/med/women/4.jpg,https://randomuser.me/api/portraits/thumb/women/4.jpg,US
female,Ms,Carrie,Gordon,6863,Mockingbird Ln,Wichita Falls,Iowa,United States,27115,-2.2098,-2.1507,-10:00,Hawaii,carrie.gordon@example.com,1989-02-08T00:12:53.175Z,32,2011-02-17T04:40:55.833Z,10,(693)-298-7298,(460)-515-2586,SSN,798-59-2599,https://randomuser.me/api/portraits/women/86.jpg,https://randomuser.me/api/portraits/med/women/86.jpg,https://randomuser.me/api/portraits/thumb/women/86.jpg,US
male,Mr,Herman,Davidson,5557,Valley View Ln,St. Petersburg,Vermont,United States,30083,31.9025,-72.8080,-7:00,Mountain Time (US & Canada),herman.davidson@example.com,1959-01-27T16:45:08.886Z,62,2005-05-23T13:24:57.999Z,16,(589)-964-5069,(064)-935-2116,SSN,356-54-1066,https://randomuser.me/api/portraits/men/73.jpg,https://randomuser.me/api/portraits/med/men/73.jpg,https://randomuser.me/api/portraits/thumb/men/73.jpg,US
male,Mr,Lewis,Boyd,8251,Pecan Acres Ln,Arlington,Ohio,United States,71856,-84.9005,-21.2558,-8:00,Pacific Time (US & Canada),lewis.boyd@example.com,1977-09-18T13:26:52.076Z,44,2008-12-23T07:11:33.839Z,13,(996)-597-5042,(068)-014-0470,SSN,670-95-9508,https://randomuser.me/api/portraits/men/0.jpg,https://randomuser.me/api/portraits/med/men/0.jpg,https://randomuser.me/api/portraits/thumb/men/0.jpg,US
male,Mr,Derek,Pena,8978,Fairview St,Fontana,Arizona,United States,77054,-3.9788,-97.7916,-10:00,Hawaii,derek.pena@example.com,1981-01-13T13:25:12.569Z,40,2017-07-22T08:08:57.791Z,4,(975)-762-2999,(011)-565-9522,SSN,787-01-3280,https://randomuser.me/api/portraits/men/91.jpg,https://randomuser.me/api/portraits/med/men/91.jpg,https://randomuser.me/api/portraits/thumb/men/91.jpg,US
male,Mr,Billy,Ray,1496,Karen Dr,Miramar,Utah,United States,26479,-33.2237,62.5252,-9:00,Alaska,billy.ray@example.com,1961-03-07T05:09:16.596Z,60,2008-06-11T14:56:18.077Z,13,(613)-127-0030,(669)-699-5291,SSN,032-94-4689,https://randomuser.me/api/portraits/men/16.jpg,https://randomuser.me/api/portraits/med/men/16.jpg,https://randomuser.me/api/portraits/thumb/men/16.jpg,US
