gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Miss,Becky,Alexander,42,Lovers Ln,Lewisville,Florida,United States,78880,-12.3251,86.8429,-7:00,Mountain Time (US & Canada),becky.alexander@example.com,1978-03-23T11:23:02.413Z,43,2018-03-12T23:59:00.450Z,3,(025)-325-1495,(887)-504-1847,SSN,809-36-2338,https://randomuser.me/api/portraits/women/55.jpg,https://randomuser.me/api/portraits/med/women/55.jpg,https://randomuser.me/api/portraits/thumb/women/55.jpg,US
female,Ms,Jeanne,Lynch,8076,Spring St,Concord,Kansas,United States,62344,-48.7361,-80.1408,-8:00,Pacific Time (US & Canada),jeanne.lynch@example.com,1962-02-03T04:42:09.390Z,59,2013-10-31T20:04:54.731Z,8,(211)-961-0355,(799)-436-4804,SSN,502-13-2856,https://randomuser.me/api/portraits/women/42.jpg,https://randomuser.me/api/portraits/med/women/42.jpg,https://randomuser.me/api/portraits/thumb/women/42.jpg,US
female,Mrs,Heather,Young,4298,Washington Ave,Buffalo,Ohio,United States,43228,74.1902,27.3560,+4:30,Kabul,heather.young@example.com,1985-07-16T23:47:32.838Z,36,2012-04-24T16:13:34.879Z,9,(964)-410-1669,(840)-086-0979,SSN,627-50-9097,https://randomuser.me/api/portraits/women/77.jpg,https://randomuser.me/api/portraits/med/women/77.jpg,https://randomuser.me/api/portraits/thumb/women/77.jpg,US
male,Mr,Leroy,Jennings,7308,W Sherman Dr,Cleveland,Illinois,United States,36862,-10.0809,16.3836,-9:00,Alaska,leroy.jennings@example.com,1958-05-13T05:16:59.670Z,63,2010-04-11T19:26:18.024Z,11,(237)-256-6196,(138)-717-1069,SSN,155-61-3845,https://randomuser.me/api/portraits/men/10.jpg,https://randomuser.me/api/portraits/med/men/10.jpg,https://randomuser.me/api/portraits/thumb/men/10.jpg,US
male,Mr,Michael,Reynolds,4972,Valley View Ln,Nashville,Pennsylvania,United States,17208,-19.3645,5.4264,-3:30,Newfoundland,michael.reynolds@example.com,1961-11-30T21:24:21.512Z,60,2016-03-29T16:33:45.753Z,5,(255)-089-1781,(848)-980-5367,SSN,072-66-6732,https://randomuser.me/api/portraits/men/91.jpg,https://randomuser.me/api/portraits/med/men/91.jpg,https://randomuser.me/api/portraits/thumb/men/91.jpg,US
female,Miss,Annie,Lawson,22,Spring St,Clearwater,Maine,United States,95564,23.9147,-108.4153,-7:00,Mountain Time (US & Canada),annie.lawson@example.com,1983-09-13T04:26:24.994Z,38,2007-06-03T11:40:18.718Z,14,(152)-711-2112,(784)-986-2555,SSN,885-94-7921,https://randomuser.me/api/portraits/women/15.jpg,https://randomuser.me/api/portraits/med/women/15.jpg,https://randomuser.me/api/portraits/thumb/women/15.jpg,US
male,Mr,Dustin,Dean,4578,Dane St,Moscow,Maryland,United States,84389,-58.7889,-100.9304,-3:30,Newfoundland,dustin.dean@example.com,1983-02-06T19:28:40.441Z,38,2018-06-30T04:03:21.593Z,3,(897)-618-8835,(169)-338-2533,SSN,388-01-8933,https://randomuser.me/api/portraits/men/50.jpg,https://randomuser.me/api/portraits/med/men/50.jpg,https://randomuser.me/api/portraits/thumb/men/50.jpg,US
female,Mrs,Susan,Perez,288,Woodland St,Rialto,Massachusetts,United States,28565,26.4919,43.1269,-10:00,Hawaii,susan.perez@example.com,1957-09-11T08:24:12.630Z,64,2011-12-19T03:01:53.119Z,10,(815)-257-8032,(707)-500-1752,SSN,848-59-8860,https://randomuser.me/api/portraits/women/6.jpg,https://randomuser.me/api/portraits/med/women/6.jpg,https://randomuser.me/api/portraits/thumb/women/6.jpg,US
male,Mr,Ronnie,Terry,2092,Fairview St,San Mateo,South Carolina,United States,55698,-51.9691,-14.9730,+5:45,Kathmandu,ronnie.terry@example.com,1956-12-07T10:48:38.743Z,65,2019-09-06T21:11:31.557Z,2,(813)-038-2726,(638)-274-6216,SSN,469-12-4849,https://randomuser.me/api/portraits/men/52.jpg,https://randomuser.me/api/portraits/med/men/52.jpg,https://randomuser.me/api/portraits/thumb/men/52.jpg,US
male,Mr,Joshua,Jimenez,1315,Cackson St,Rochester,Montana,United States,85668,-82.0417,89.7306,-8:00,Pacific Time (US & Canada),joshua.jimenez@example.com,1971-07-16T19:03:25.256Z,50,2011-10-10T16:15:50.241Z,10,(639)-998-5337,(803)-193-9893,SSN,057-94-7668,https://randomuser.me/api/portraits/men/85.jpg,https://randomuser.me/api/portraits/med/men/85.jpg,https://randomuser.me/api/portraits/thumb/men/85.jpg,US
