gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Mrs,Ramona,Howard,2714,Westheimer Rd,Costa Mesa,Ohio,United States,20033,20.7104,-127.1591,+3:30,Tehran,ramona.howard@example.com,1970-04-04T21:18:10.282Z,51,2014-08-14T02:58:36.238Z,7,(872)-340-3884,(522)-979-3774,SSN,761-11-5522,https://randomuser.me/api/portraits/women/71.jpg,https://randomuser.me/api/portraits/med/women/71.jpg,https://randomuser.me/api/portraits/thumb/women/71.jpg,US
male,Mr,Flenn,Taylor,5464,Groveland Terrace,Steilacoom,Wisconsin,United States,63025,56.4528,102.9171,-2:00,Mid-Atlantic,flenn.taylor@example.com,1960-03-28T07:07:53.055Z,61,2019-04-15T14:11:15.988Z,2,(024)-842-6784,(860)-169-2282,SSN,829-53-1822,https://randomuser.me/api/portraits/men/89.jpg,https://randomuser.me/api/portraits/med/men/89.jpg,https://randomuser.me/api/portraits/thumb/men/89.jpg,US
male,Mr,Edward,Austin,5342,Oak Ridge Ln,Mcallen,North Dakota,United States,62067,59.9797,-3.4027,+5:45,Kathmandu,edward.austin@example.com,1969-04-16T19:39:00.407Z,52,2015-10-14T20:44:03.229Z,6,(165)-369-4824,(471)-214-5796,SSN,336-08-8328,https://randomuser.me/api/portraits/men/22.jpg,https://randomuser.me/api/portraits/med/men/22.jpg,https://randomuser.me/api/portraits/thumb/men/22.jpg,US
male,Mr,Louis,Spencer,242,Miller Ave,Carlsbad,Mississippi,United States,93905,49.2302,-136.9113,-10:00,Hawaii,louis.spencer@example.com,1993-10-31T06:06:02.845Z,28,2013-09-03T11:52:48.787Z,8,(366)-830-1685,(873)-716-7444,SSN,964-26-0613,https://randomuser.me/api/portraits/men/23.jpg,https://randomuser.me/api/portraits/med/men/23.jpg,https://randomuser.me/api/portraits/thumb/men/23.jpg,US
female,Miss,Theresa,Grant,4821,Eason Rd,Manchester,North Dakota,United States,69676,-25.8820,85.9494,-3:30,Newfoundland,theresa.grant@example.com,1950-06-18T21:03:30.230Z,71,2009-01-15T18:37:49.659Z,12,(841)-717-1824,(441)-257-9700,SSN,089-56-5230,https://randomuser.me/api/portraits/women/36.jpg,https://randomuser.me/api/portraits/med/women/36.jpg,https://randomuser.me/api/portraits/thumb/women/36.jpg,US
male,Mr,Harold,Carr,155,Mcgowen St,Brownsville,South Dakota,United States,27049,-49.7259,-118.9710,+4:30,Kabul,harold.carr@example.com,1977-07-22T07:50:17.495Z,44,2002-07-23T10:42:17.085Z,19,(523)-452-2241,(244)-254-3431,SSN,824-02-9201,https://randomuser.me/api/portraits/men/42.jpg,https://randomuser.me/api/portraits/med/men/42.jpg,https://randomuser.me/api/portraits/thumb/men/42.jpg,US
male,Mr,Clyde,Austin,9377,Marsh Ln,Bellevue,Kentucky,United States,71060,-75.9511,-141.0841,-2:00,Mid-Atlantic,clyde.austin@example.com,1982-02-17T17:14:54.343Z,39,2016-10-31T13:58:01.439Z,5,(593)-877-5318,(644)-213-2673,SSN,613-46-0047,https://randomuser.me/api/portraits/men/8.jpg,https://randomuser.me/api/portraits/med/men/8.jpg,https://randomuser.me/api/portraits/thumb/men/8.jpg,US
male,Mr,Dale,Harris,2220,Miller Ave,Lincoln,Tennessee,United States,18461,-65.2313,102.4480,+5:45,Kathmandu,dale.harris@example.com,1960-11-22T18:33:12.757Z,61,2018-06-21T05:51:41.092Z,3,(081)-250-4348,(619)-755-5718,SSN,408-94-3884,https://randomuser.me/api/portraits/men/32.jpg,https://randomuser.me/api/portraits/med/men/32.jpg,https://randomuser.me/api/portraits/thumb/men/32.jpg,US
female,Miss,Janice,Burton,3586,N Stelling Rd,Durham,New York,United States,21625,-40.4471,-140.5101,+5:45,Kathmandu,janice.burton@example.com,1981-02-06T16:04:33.702Z,40,2006-12-07T07:10:35.499Z,15,(216)-665-3471,(793)-034-5345,SSN,031-92-5167,https://randomuser.me/api/portraits/women/68.jpg,https://randomuser.me/api/portraits/med/women/68.jpg,https://randomuser.me/api/portraits/thumb/women/68.jpg,US
female,Mrs,Brooklyn,Young,1445,Homestead Rd,Henderson,West Virginia,United States,87749,-34.6527,119.4170,+3:30,Tehran,brooklyn.young@example.com,1959-11-27T01:44:32.302Z,62,2013-03-31T01:19:00.782Z,8,(204)-022-4811,(718)-779-2926,SSN,031-36-9644,https://randomuser.me/api/portraits/women/31.jpg,https://randomuser.me/api/portraits/med/women/31.jpg,https://randomuser.me/api/portraits/thumb/women/31.jpg,US
female,Miss,Tanya,Hunt,5290,E Little York Rd,Clarksville,Utah,United States,68220,69.9216,-159.1156,-3:30,Newfoundland,tanya.hunt@example.com,1961-06-08T12:57:09.392Z,60,2017-03-04T18:33:52.564Z,4,(424)-660-5651,(252)-726-6257,SSN,636-28-6916,https://randomuser.me/api/portraits/women/72.jpg,https://randomuser.me/api/portraits/med/women/72.jpg,https://randomuser.me/api/portraits/thumb/women/72.jpg,US
male,Mr,Gary,Vargas,99,Dane St,Daly City,Maine,United States,76646,-47.2999,48.3630,-9:00,Alaska,gary.vargas@example.com,1970-04-04T16:53:26.703Z,51,2003-02-08T09:18:44.680Z,18,(894)-568-0619,(904)-118-2685,SSN,084-77-1670,https://randomuser.me/api/portraits/men/9.jpg,https://randomuser.me/api/portraits/med/men/9.jpg,https://randomuser.me/api/portraits/thumb/men/9.jpg,US
