gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Marcus,Simmmons,3168,Sunset St,Phoenix,South Carolina,United States,51777,-12.0181,80.2111,-10:00,Hawaii,marcus.simmmons@example.com,1954-06-09T22:48:55.776Z,67,2002-10-07T23:54:56.874Z,19,(834)-781-0100,(251)-929-3262,SSN,142-31-1095,https://randomuser.me/api/portraits/men/89.jpg,https://randomuser.me/api/portraits/med/men/89.jpg,https://randomuser.me/api/portraits/thumb/men/89.jpg,US
female,Ms,Stephanie,Black,2351,Homestead Rd,Cambridge,Iowa,United States,40718,-34.5951,46.5783,-10:00,Hawaii,stephanie.black@example.com,1964-12-12T00:34:24.261Z,57,2007-08-27T02:47:13.308Z,14,(367)-795-3541,(579)-864-5683,SSN,269-19-8800,https://randomuser.me/api/portraits/women/36.jpg,https://randomuser.me/api/portraits/med/women/36.jpg,https://randomuser.me/api/portraits/thumb/women/36.jpg,US
male,Mr,Floyd,Sullivan,4942,Poplar Dr,Chandler,Virginia,United States,93845,82.0103,55.6698,+5:45,Kathmandu,floyd.sullivan@example.com,1990-02-27T14:03:04.768Z,31,2007-06-25T21:04:41.210Z,14,(240)-834-5309,(708)-756-3885,SSN,060-97-6705,https://randomuser.me/api/portraits/men/27.jpg,https://randomuser.me/api/portraits/med/men/27.jpg,https://randomuser.me/api/portraits/thumb/men/27.jpg,US
female,Miss,Jean,Mckinney,365,Mcgowen St,Overland Park,Maine,United States,34555,-20.6873,56.8325,-7:00,Mountain Time (US & Canada),jean.mckinney@example.com,1965-04-22T08:40:04.778Z,56,2018-02-24T14:21:31.537Z,3,(589)-234-3750,(020)-417-3425,SSN,869-07-9723,https://randomuser.me/api/portraits/women/85.jpg,https://randomuser.me/api/portraits/med/women/85.jpg,https://randomuser.me/api/portraits/thumb/women/85.jpg,US
male,Mr,Brayden,Mitchell,2178,James St,Sunnyvale,California,United States,56146,67.4156,107.9317,-8:00,Pacific Time (US & Canada),brayden.mitchell@example.com,1980-07-25T04:48:37.655Z,41,2017-10-23T00:37:41.371Z,4,(893)-730-2131,(882)-892-5964,SSN,024-92-4222,https://randomuser.me/api/portraits/men/49.jpg,https://randomuser.me/api/portraits/med/men/49.jpg,https://randomuser.me/api/portraits/thumb/men/49.jpg,US
male,Mr,Justin,Watkins,5569,Taylor St,Lakeland,Oklahoma,United States,56570,66.2753,-107.5181,+5:45,Kathmandu,justin.watkins@example.com,1979-02-22T11:11:13.052Z,42,2010-02-07T16:31:43.016Z,11,(218)-113-8740,(218)-579-2091,SSN,723-82-9859,https://randomuser.me/api/portraits/men/6.jpg,https://randomuser.me/api/portraits/med/men/6.jpg,https://randomuser.me/api/portraits/thumb/men/6.jpg,US
male,Mr,Curtis,Gutierrez,4888,Lone Wolf Trail,Overland Park,Nebraska,United States,10044,-27.8617,99.2778,+5:45,Kathmandu,curtis.gutierrez@example.com,1967-05-30T10:06:21.091Z,54,2013-06-05T11:40:46.490Z,8,(815)-549-6823,(814)-495-9199,SSN,695-20-4031,https://randomuser.me/api/portraits/men/13.jpg,https://randomuser.me/api/portraits/med/men/13.jpg,https://randomuser.me/api/portraits/thumb/men/13.jpg,US
female,Miss,Ellen,Carter,6907,Paddock Way,New Orleans,Connecticut,United States,72147,63.1754,14.5196,-9:00,Alaska,ellen.carter@example.com,1993-04-30T21:04:01.142Z,28,2016-05-19T06:24:20.768Z,5,(272)-158-9683,(901)-323-6753,SSN,812-82-4747,https://randomuser.me/api/portraits/women/72.jpg,https://randomuser.me/api/portraits/med/women/72.jpg,https://randomuser.me/api/portraits/thumb/women/72.jpg,US
female,Ms,Penny,Gibson,2156,Hickory Creek Dr,College Station,South Dakota,United States,11600,51.7959,-9.1472,-3:30,Newfoundland,penny.gibson@example.com,1961-02-13T14:53:29.694Z,60,2019-01-03T08:35:01.766Z,2,(072)-948-4369,(277)-359-6173,SSN,239-41-4386,https://randomuser.me/api/portraits/women/16.jpg,https://randomuser.me/api/portraits/med/women/16.jpg,https://randomuser.me/api/portraits/thumb/women/16.jpg,US
male,Mr,Darrell,Myers,2308,Hamilton Ave,Waxahachie,West Virginia,United States,82003,45.8096,176.3737,+5:45,Kathmandu,darrell.myers@example.com,1997-09-06T02:18:00.025Z,24,2004-08-22T18:52:10.136Z,17,(917)-400-1860,(495)-551-4996,SSN,552-18-1125,https://randomuser.me/api/portraits/men/22.jpg,https://randomuser.me/api/portraits/med/men/22.jpg,https://randomuser.me/api/portraits/thumb/men/22.jpg,US
