gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Ms,Rose,Turner,4371,Plum St,Chattanooga,Minnesota,United States,15129,-40.5294,111.2409,-9:00,Alaska,rose.turner@example.com,1989-05-15T06:12:27.107Z,32,2014-06-20T20:10:20.521Z,7,(803)-456-2837,(271)-595-9933,SSN,162-38-0586,https://randomuser.me/api/portraits/women/28.jpg,https://randomuser.me/api/portraits/med/women/28.jpg,https://randomuser.me/api/portraits/thumb/women/28.jpg,US
female,Mrs,Carmen,Simmmons,6858,E North St,Fairfield,Indiana,United States,39642,-54.7775,34.5572,-7:00,Mountain Time (US & Canada),carmen.simmmons@example.com,1945-12-26T21:47:57.312Z,76,2008-07-25T01:36:22.728Z,13,(630)-698-0320,(092)-571-3150,SSN,601-67-1727,https://randomuser.me/api/portraits/women/35.jpg,https://randomuser.me/api/portraits/med/women/35.jpg,https://randomuser.me/api/portraits/thumb/women/35.jpg,US
female,Miss,Melanie,Sanders,6068,Prospect Rd,Surprise,Oregon,United States,56294,8.0086,-105.6434,-10:00,Hawaii,melanie.sanders@example.com,1961-03-25T23:05:39.368Z,60,2011-02-26T12:15:08.473Z,10,(588)-144-3694,(043)-491-9917,SSN,131-17-6933,https://randomuser.me/api/portraits/women/45.jpg,https://randomuser.me/api/portraits/med/women/45.jpg,https://randomuser.me/api/portraits/thumb/women/45.jpg,US
male,Mr,Walter,Porter,8769,Hillcrest Rd,Honolulu,Alaska,United States,66098,84.7156,-121.9231,+3:30,Tehran,walter.porter@example.com,1954-06-26T18:11:45.059Z,67,2007-06-20T16:57:26.544Z,14,(745)-037-9950,(338)-050-9436,SSN,841-55-2298,https://randomuser.me/api/portraits/men/45.jpg,https://randomuser.me/api/portraits/med/men/45.jpg,https://randomuser.me/api/portraits/thumb/men/45.jpg,US
male,Mr,Chester,Ellis,7685,Bollinger Rd,San Mateo,Oklahoma,United States,76581,44.1803,-1.6609,-3:30,Newfoundland,chester.ellis@example.com,1977-01-03T17:11:27.170Z,44,2003-04-15T04:54:25.959Z,18,(530)-429-0709,(349)-388-0194,SSN,101-53-5725,https://randomuser.me/api/portraits/men/26.jpg,https://randomuser.me/api/portraits/med/men/26.jpg,https://randomuser.me/api/portraits/thumb/men/26.jpg,US
male,Mr,Johnny,Weaver,6631,Homestead Rd,Tyler,Arkansas,United States,81359,39.9442,32.2051,+5:45,Kathmandu,johnny.weaver@example.com,1951-01-09T23:00:57.872Z,70,2017-02-28T19:34:21.511Z,4,(806)-068-5770,(756)-615-2357,SSN,050-68-0709,https://randomuser.me/api/portraits/men/59.jpg,https://randomuser.me/api/portraits/med/men/59.jpg,https://randomuser.me/api/portraits/thumb/men/59.jpg,US
male,Mr,Larry,Morales,1654,Saddle Dr,Worcester,Iowa,United States,37930,12.7503,-74.9104,-9:00,Alaska,larry.morales@example.com,1974-08-30T07:23:12.790Z,47,2003-07-07T20:40:23.817Z,18,(548)-953-4385,(780)-479-5321,SSN,972-08-1904,https://randomuser.me/api/portraits/men/67.jpg,https://randomuser.me/api/portraits/med/men/67.jpg,https://randomuser.me/api/portraits/thumb/men/67.jpg,US
female,Ms,Theresa,Graham,6889,Walnut Hill Ln,Yakima,Vermont,United States,17570,61.0104,-167.9057,-8:00,Pacific Time (US & Canada),theresa.graham@example.com,1958-06-12T11:00:53.693Z,63,2012-04-06T07:19:12.380Z,9,(114)-542-8761,(740)-593-1996,SSN,146-03-6721,https://randomuser.me/api/portraits/women/14.jpg,https://randomuser.me/api/portraits/med/women/14.jpg,https://randomuser.me/api/portraits/thumb/women/14.jpg,US
male,Mr,Devon,Nelson,221,W Pecan St,Gainesville,New Mexico,United States,27493,57.5223,122.5564,+3:30,Tehran,devon.nelson@example.com,1984-09-20T13:55:02.568Z,37,2008-04-23T07:25:13.867Z,13,(625)-251-1722,(165)-408-0280,SSN,381-14-9976,https://randomuser.me/api/portraits/men/27.jpg,https://randomuser.me/api/portraits/med/men/27.jpg,https://randomuser.me/api/portraits/thumb/men/27.jpg,US
female,Miss,Lauren,Williamson,7944,Frances Ct,Provo,Colorado,United States,91426,42.2830,176.7784,-3:30,Newfoundland,lauren.williamson@example.com,1970-10-30T02:54:41.276Z,51,2013-03-10T22:00:57.302Z,8,(586)-370-3244,(685)-995-1870,SSN,569-74-8853,https://randomuser.me/api/portraits/women/19.jpg,https://randomuser.me/api/portraits/med/women/19.jpg,https://randomuser.me/api/portraits/thumb/women/19.jpg,US
male,Mr,Wyatt,Harris,9650,Cackson St,Murrieta,California,United States,53033,-35.4285,124.7277,-10:00,Hawaii,wyatt.harris@example.com,1978-11-29T21:19:11.733Z,43,2019-09-10T08:56:53.454Z,2,(407)-665-7701,(218)-307-3382,SSN,153-89-6188,https://randomuser.me/api/portraits/men/70.jpg,https://randomuser.me/api/portraits/med/men/70.jpg,https://randomuser.me/api/portraits/thumb/men/70.jpg,US
male,Mr,Javier,Edwards,1696,Brown Terrace,El Cajon,Iowa,United States,67612,75.8627,-30.9154,-2:00,Mid-Atlantic,javier.edwards@example.com,1969-10-31T15:19:31.594Z,52,2017-01-16T03:29:35.716Z,4,(566)-155-0536,(253)-985-8476,SSN,766-18-4702,https://randomuser.me/api/portraits/men/65.jpg,https://randomuser.me/api/portraits/med/men/65.jpg,https://randomuser.me/api/portraits/thumb/men/65.jpg,US
female,Miss,Leah,Jennings,5178,W Campbell Ave,Antioch,New Hampshire,United States,42766,-2.8988,45.5137,-2:00,Mid-Atlantic,leah.jennings@example.com,1970-06-17T12:43:16.251Z,51,2006-06-19T16:01:02.315Z,15,(343)-655-4815,(259)-591-6118,SSN,577-15-4977,https://randomuser.me/api/portraits/women/54.jpg,https://randomuser.me/api/portraits/med/women/54.jpg,https://randomuser.me/api/portraits/thumb/women/54.jpg,US
