gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Leon,Jenkins,7108,Depaul Dr,Birmingham,Texas,United States,60325,-83.3429,-17.5762,-2:00,Mid-Atlantic,leon.jenkins@example.com,1966-12-08T06:00:19.793Z,55,2004-11-28T01:18:57.715Z,17,(520)-207-3078,(554)-876-3294,SSN,524-95-8622,https://randomuser.me/api/portraits/men/40.jpg,https://randomuser.me/api/portraits/med/men/40.jpg,https://randomuser.me/api/portraits/thumb/men/40.jpg,US
female,Mrs,Felicia,Powell,9795,Westheimer Rd,Los Lunas,Michigan,United States,16440,-1.0827,-82.3403,-7:00,Mountain Time (US & Canada),felicia.powell@example.com,1998-06-20T08:35:49.541Z,23,2019-08-25T21:44:56.445Z,2,(104)-719-9629,(788)-787-6432,SSN,856-97-8166,https://randomuser.me/api/portraits/women/52.jpg,https://randomuser.me/api/portraits/med/women/52.jpg,https://randomuser.me/api/portraits/thumb/women/52.jpg,US
female,Ms,Katherine,Byrd,5639,Eason Rd,Evansville,Alabama,United States,81937,10.6072,-103.6176,-10:00,Hawaii,katherine.byrd@example.com,1971-12-05T16:46:06.938Z,50,2012-03-03T05:54:38.213Z,9,(866)-490-6382,(198)-794-5739,SSN,062-17-3430,https://randomuser.me/api/portraits/women/79.jpg,https://randomuser.me/api/portraits/med/women/79.jpg,https://randomuser.me/api/portraits/thumb/women/79.jpg,US
male,Mr,Connor,Stone,3261,E Little York Rd,Denver,South Carolina,United States,42315,23.5453,35.5833,-9:00,Alaska,connor.stone@example.com,1948-09-05T13:08:26.864Z,73,2005-01-28T23:18:31.013Z,16,(190)-958-8998,(206)-589-1573,SSN,463-47-2973,https://randomuser.me/api/portraits/men/76.jpg,https://randomuser.me/api/portraits/med/men/76.jpg,https://randomuser.me/api/portraits/thumb/men/76.jpg,US
male,Mr,Rene,Warren,6085,E Pecan St,Phoenix,Louisiana,United States,88402,86.3254,162.5568,-10:00,Hawaii,rene.warren@example.com,1961-03-16T02:46:50.372Z,60,2012-07-07T22:42:32.421Z,9,(389)-635-2974,(307)-867-0580,SSN,858-77-2413,https://randomuser.me/api/portraits/men/67.jpg,https://randomuser.me/api/portraits/med/men/67.jpg,https://randomuser.me/api/portraits/thumb/men/67.jpg,US
male,Mr,Robert,Anderson,4871,Mockingbird Ln,Lexington,New Mexico,United States,57669,44.2954,119.3446,-9:00,Alaska,robert.anderson@example.com,1997-01-28T21:18:10.124Z,24,2019-01-08T19:34:22.732Z,2,(187)-816-5752,(417)-392-6258,SSN,728-98-1760,https://randomuser.me/api/portraits/men/58.jpg,https://randomuser.me/api/portraits/med/men/58.jpg,https://randomuser.me/api/portraits/thumb/men/58.jpg,US
female,Ms,Allison,Grant,9640,Hunters Creek Dr,Burkburnett,Hawaii,United States,69722,49.3883,167.3706,-7:00,Mountain Time (US & Canada),allison.grant@example.com,1973-11-07T13:51:02.686Z,48,2017-02-11T03:10:45.531Z,4,(142)-184-9131,(469)-010-7884,SSN,517-59-5504,https://randomuser.me/api/portraits/women/59.jpg,https://randomuser.me/api/portraits/med/women/59.jpg,https://randomuser.me/api/portraits/thumb/women/59.jpg,US
male,Mr,Luis,Watson,6944,Photinia Ave,Oxnard,Ohio,United States,47275,65.7519,-29.9190,-8:00,Pacific Time (US & Canada),luis.watson@example.com,1990-06-15T19:49:13.979Z,31,2009-02-16T09:18:41.884Z,12,(237)-859-1696,(133)-581-5054,SSN,342-36-5830,https://randomuser.me/api/portraits/men/99.jpg,https://randomuser.me/api/portraits/med/men/99.jpg,https://randomuser.me/api/portraits/thumb/men/99.jpg,US
female,Mrs,Lisa,Caldwell,5519,Avondale Ave,Des Moines,Florida,United States,66698,54.1292,-5.2653,-10:00,Hawaii,lisa.caldwell@example.com,1967-03-31T17:50:11.779Z,54,2003-04-05T06:13:06.088Z,18,(939)-368-4702,(366)-414-0164,SSN,417-14-5427,https://randomuser.me/api/portraits/women/75.jpg,https://randomuser.me/api/portraits/med/women/75.jpg,https://randomuser.me/api/portraits/thumb/women/75.jpg,US
male,Mr,Freddie,Palmer,4126,E Little York Rd,Carrollton,New Jersey,United States,68695,23.7586,162.0331,+5:45,Kathmandu,freddie.palmer@example.com,1952-08-14T10:44:04.826Z,69,2018-10-21T18:26:20.243Z,3,(320)-681-3016,(006)-094-5437,SSN,979-10-2003,https://randomuser.me/api/portraits/men/66.jpg,https://randomuser.me/api/portraits/med/men/66.jpg,https://randomuser.me/api/portraits/thumb/men/66.jpg,US
