gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Stanley,Shelton,2490,E Little York Rd,Allentown,Nebraska,United States,71220,-66.7157,-72.7220,+4:30,Kabul,stanley.shelton@example.com,1962-11-23T07:17:52.854Z,59,2002-09-23T10:39:43.976Z,19,(644)-212-1464,(383)-872-5340,SSN,667-64-7166,https://randomuser.me/api/portraits/men/43.jpg,https://randomuser.me/api/portraits/med/men/43.jpg,https://randomuser.me/api/portraits/thumb/men/43.jpg,US
male,Mr,Charlie,Carroll,4418,Daisy Dr,Columbia,New York,United States,20763,33.8591,-14.9703,-10:00,Hawaii,charlie.carroll@example.com,1959-05-15T07:47:32.940Z,62,2008-02-26T11:28:31.424Z,13,(847)-996-8013,(252)-167-0067,SSN,327-75-8759,https://randomuser.me/api/portraits/men/25.jpg,https://randomuser.me/api/portraits/med/men/25.jpg,https://randomuser.me/api/portraits/thumb/men/25.jpg,US
female,Miss,Kitty,Sullivan,2212,Photinia Ave,Bernalillo,Mississippi,United States,37097,-15.4276,55.1286,-2:00,Mid-Atlantic,kitty.sullivan@example.com,1970-02-04T00:53:23.285Z,51,2007-06-14T19:51:46.421Z,14,(328)-690-8410,(067)-736-1052,SSN,682-53-6085,https://randomuser.me/api/portraits/women/41.jpg,https://randomuser.me/api/portraits/med/women/41.jpg,https://randomuser.me/api/portraits/thumb/women/41.jpg,US
female,Mrs,Bertha,Fisher,5233,Taylor St,Des Moines,North Dakota,United States,81195,-51.7874,95.8462,-9:00,Alaska,bertha.fisher@example.com,1951-04-29T18:55:56.042Z,70,2004-11-18T14:28:14.510Z,17,(015)-362-5949,(169)-860-8588,SSN,652-28-8730,https://randomuser.me/api/portraits/women/68.jpg,https://randomuser.me/api/portraits/med/women/68.jpg,https://randomuser.me/api/portraits/thumb/women/68.jpg,US
male,Mr,Neil,Myers,2331,Northaven Rd,Billings,New Jersey,United States,14936,25.7430,157.7316,-10:00,Hawaii,neil.myers@example.com,1978-03-05T22:45:41.171Z,43,2016-04-08T23:01:57.627Z,5,(195)-251-0372,(469)-998-1360,SSN,587-63-7840,https://randomuser.me/api/portraits/men/10.jpg,https://randomuser.me/api/portraits/med/men/10.jpg,https://randomuser.me/api/portraits/thumb/men/10.jpg,US
female,Ms,Sue,Willis,6435,Fairview St,Albany,New Jersey,United States,60401,-57.6661,-157.7165,+3:30,Tehran,sue.willis@example.com,1987-04-18T18:03:15.125Z,34,2003-09-27T19:42:24.329Z,18,(997)-034-8453,(940)-577-8429,SSN,379-42-3785,https://randomuser.me/api/portraits/women/66.jpg,https://randomuser.me/api/portraits/med/women/66.jpg,https://randomuser.me/api/portraits/thumb/women/66.jpg,US
male,Mr,Judd,Ramirez,4817,Edwards Rd,Temecula,Illinois,United States,78091,89.9234,4.3934,-10:00,Hawaii,judd.ramirez@example.com,1946-07-13T06:17:15.270Z,75,2017-12-03T03:43:42.292Z,4,(016)-213-8075,(462)-668-9788,SSN,453-12-5716,https://randomuser.me/api/portraits/men/64.jpg,https://randomuser.me/api/portraits/med/men/64.jpg,https://randomuser.me/api/portraits/thumb/men/64.jpg,US
female,Ms,Courtney,Cole,6340,Robinson Rd,San Mateo,Kentucky,United States,18596,62.8353,-24.3181,+4:30,Kabul,courtney.cole@example.com,1969-08-08T12:52:47.120Z,52,2010-06-08T17:04:36.038Z,11,(892)-355-7799,(823)-422-0160,SSN,751-98-3693,https://randomuser.me/api/portraits/women/68.jpg,https://randomuser.me/api/portraits/med/women/68.jpg,https://randomuser.me/api/portraits/thumb/women/68.jpg,US
female,Miss,Susan,Henderson,2511,Frances Ct,Jersey City,Nevada,United States,64155,49.9259,78.2289,+4:30,Kabul,susan.henderson@example.com,1948-01-24T20:29:26.789Z,73,2009-05-03T18:33:17.809Z,12,(661)-945-0995,(876)-523-5474,SSN,878-73-5115,https://randomuser.me/api/portraits/women/51.jpg,https://randomuser.me/api/portraits/med/women/51.jpg,https://randomuser.me/api/portraits/thumb/women/51.jpg,US
male,Mr,Guy,Cole,2416,Lone Wolf Trail,Addison,Idaho,United States,92441,-86.1082,-106.3356,-7:00,Mountain Time (US & Canada),guy.cole@example.com,1973-11-22T07:58:56.094Z,48,2016-04-14T16:08:24.903Z,5,(355)-273-5649,(360)-853-6282,SSN,888-42-3855,https://randomuser.me/api/portraits/men/49.jpg,https://randomuser.me/api/portraits/med/men/49.jpg,https://randomuser.me/api/portraits/thumb/men/49.jpg,US
