gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Douglas,Wells,8609,Royal Ln,Madison,Colorado,United States,14196,-40.6448,-154.6915,-7:00,Mountain Time (US & Canada),douglas.wells@example.com,1993-08-27T19:12:36.766Z,28,2007-04-15T12:14:31.656Z,14,(934)-026-2128,(932)-330-8426,SSN,160-35-7370,https://randomuser.me/api/portraits/men/31.jpg,https://randomuser.me/api/portraits/med/men/31.jpg,https://randomuser.me/api/portraits/thumb/men/31.jpg,US
male,Mr,Russell,Bradley,1832,W Pecan St,Stockton,Connecticut,United States,23595,13.1870,-167.9381,-3:30,Newfoundland,russell.bradley@example.com,1978-07-20T13:41:15.345Z,43,2010-10-09T13:40:04.771Z,11,(416)-753-5997,(260)-262-7270,SSN,283-15-1399,https://randomuser.me/api/portraits/men/72.jpg,https://randomuser.me/api/portraits/med/men/72.jpg,https://randomuser.me/api/portraits/thumb/men/72.jpg,US
female,Ms,Mildred,Harrison,730,Bollinger Rd,Cleveland,New York,United States,96135,79.8518,-165.2605,+3:30,Tehran,mildred.harrison@example.com,1972-02-03T00:48:51.819Z,49,2003-08-23T21:27:44.236Z,18,(225)-888-6490,(959)-608-0873,SSN,138-87-4174,https://randomuser.me/api/portraits/women/59.jpg,https://randomuser.me/api/portraits/med/women/59.jpg,https://randomuser.me/api/portraits/thumb/women/59.jpg,US
female,Miss,Serenity,Dunn,5013,Samaritan Dr,Cambridge,Utah,United States,14047,14.2658,-110.6482,-10:00,Hawaii,serenity.dunn@example.com,1971-03-26T08:19:49.480Z,50,2013-12-15T12:24:07.157Z,8,(850)-378-4691,(922)-226-4503,SSN,112-63-7149,https://randomuser.me/api/portraits/women/58.jpg,https://randomuser.me/api/portraits/med/women/58.jpg,https://randomuser.me/api/portraits/thumb/women/58.jpg,US
male,Mr,Fred,Castillo,5991,Eason Rd,Cedar Rapids,West Virginia,United States,92166,-49.1997,80.6425,-2:00,Mid-Atlantic,fred.castillo@example.com,1957-07-21T18:08:31.613Z,64,2016-11-04T13:46:43.190Z,5,(480)-295-6444,(395)-950-0649,SSN,872-11-5807,https://randomuser.me/api/portraits/men/50.jpg,https://randomuser.me/api/portraits/med/men/50.jpg,https://randomuser.me/api/portraits/thumb/men/50.jpg,US
female,Ms,Billie,Beck,8518,E Center St,Murrieta,Wyoming,United States,12539,-43.2591,-77.1739,+5:45,Kathmandu,billie.beck@example.com,1993-10-08T22:16:58.301Z,28,2012-03-26T01:25:50.235Z,9,(760)-579-1020,(205)-040-8747,SSN,321-21-3855,https://randomuser.me/api/portraits/women/42.jpg,https://randomuser.me/api/portraits/med/women/42.jpg,https://randomuser.me/api/portraits/thumb/women/42.jpg,US
female,Mrs,Doris,Nelson,4897,Nowlin Rd,Joliet,Nebraska,United States,47077,38.9006,-160.0077,-2:00,Mid-Atlantic,doris.nelson@example.com,1955-01-23T23:53:11.035Z,66,2009-09-20T19:37:26.269Z,12,(354)-402-1701,(118)-033-9023,SSN,423-51-6546,https://randomuser.me/api/portraits/women/44.jpg,https://randomuser.me/api/portraits/med/women/44.jpg,https://randomuser.me/api/portraits/thumb/women/44.jpg,US
male,Mr,Arthur,Craig,1311,First Street,Vancouver,Maryland,United States,71093,-79.1331,-99.0177,-7:00,Mountain Time (US & Canada),arthur.craig@example.com,1990-08-19T22:34:13.891Z,31,2005-04-10T08:31:49.752Z,16,(549)-598-2900,(024)-225-4527,SSN,118-80-6845,https://randomuser.me/api/portraits/men/92.jpg,https://randomuser.me/api/portraits/med/men/92.jpg,https://randomuser.me/api/portraits/thumb/men/92.jpg,US
male,Mr,Steven,Ramirez,6163,Pockrus Page Rd,Fairfield,Alaska,United States,37525,7.7405,-156.0221,-2:00,Mid-Atlantic,steven.ramirez@example.com,1960-04-12T10:02:34.625Z,61,2005-07-22T20:17:13.546Z,16,(075)-632-6128,(475)-634-1700,SSN,060-91-6721,https://randomuser.me/api/portraits/men/41.jpg,https://randomuser.me/api/portraits/med/men/41.jpg,https://randomuser.me/api/portraits/thumb/men/41.jpg,US
male,Mr,Jordan,Powell,471,Valwood Pkwy,Port St. Lucie,Ohio,United States,56303,14.4285,4.5467,-2:00,Mid-Atlantic,jordan.powell@example.com,1964-09-21T02:28:10.860Z,57,2008-12-18T04:20:20.677Z,13,(970)-527-6594,(389)-645-5199,SSN,643-42-6601,https://randomuser.me/api/portraits/men/61.jpg,https://randomuser.me/api/portraits/med/men/61.jpg,https://randomuser.me/api/portraits/thumb/men/61.jpg,US
male,Mr,Lester,Baker,1902,Washington Ave,Berkeley,Maine,United States,34905,-8.9493,26.6562,-10:00,Hawaii,lester.baker@example.com,1975-03-13T08:20:53.617Z,46,2015-11-01T09:37:26.382Z,6,(439)-241-2122,(078)-699-1656,SSN,443-18-8786,https://randomuser.me/api/portraits/men/97.jpg,https://randomuser.me/api/portraits/med/men/97.jpg,https://randomuser.me/api/portraits/thumb/men/97.jpg,US
male,Mr,Dwight,Howell,8454,Central St,South Bend,Maryland,United States,51803,24.8885,71.7068,-2:00,Mid-Atlantic,dwight.howell@example.com,1981-12-16T23:16:30.966Z,40,2017-08-08T00:00:27.556Z,4,(307)-624-7444,(710)-408-8093,SSN,032-99-8448,https://randomuser.me/api/portraits/men/58.jpg,https://randomuser.me/api/portraits/med/men/58.jpg,https://randomuser.me/api/portraits/thumb/men/58.jpg,US
female,Miss,Stephanie,Byrd,8937,Spring St,Albany,West Virginia,United States,83488,84.6296,29.1948,+4:30,Kabul,stephanie.byrd@example.com,1958-06-10T19:58:12.768Z,63,2005-10-12T11:37:59.633Z,16,(459)-144-8259,(459)-524-8760,SSN,351-21-4880,https://randomuser.me/api/portraits/women/60.jpg,https://randomuser.me/api/portraits/med/women/60.jpg,https://randomuser.me/api/portraits/thumb/women/60.jpg,US
male,Mr,Greg,Hill,8505,Depaul Dr,Mobile,New Mexico,United States,83397,-78.6399,-10.4066,-2:00,Mid-Atlantic,greg.hill@example.com,1992-01-31T21:22:21.468Z,29,2012-11-25T01:52:31.049Z,9,(846)-486-2703,(826)-125-7169,SSN,874-75-6547,https://randomuser.me/api/portraits/men/42.jpg,https://randomuser.me/api/portraits/med/men/42.jpg,https://randomuser.me/api/portraits/thumb/men/42.jpg,US
female,Mrs,Mary,Barnes,4875,Pockrus Page Rd,Escondido,Nebraska,United States,17323,69.0971,-103.5413,+5:45,Kathmandu,mary.barnes@example.com,1998-02-18T18:42:59.010Z,23,2007-09-29T22:19:27.649Z,14,(932)-816-4061,(186)-079-8661,SSN,341-96-2474,https://randomuser.me/api/portraits/women/22.jpg,https://randomuser.me/api/portraits/med/women/22.jpg,https://randomuser.me/api/portraits/thumb/women/22.jpg,US
male,Mr,Tony,Wright,7832,Central St,Akron,Kentucky,United States,65720,-29.1956,22.8458,-10:00,Hawaii,tony.wright@example.com,1987-02-04T14:37:38.624Z,34,2017-02-12T14:51:41.084Z,4,(411)-695-8488,(821)-212-4804,SSN,409-93-7475,https://randomuser.me/api/portraits/men/12.jpg,https://randomuser.me/api/portraits/med/men/12.jpg,https://randomuser.me/api/portraits/thumb/men/12.jpg,US
male,Mr,Bob,Simpson,5671,Shady Ln Dr,Seattle,Arizona,United States,11868,-1.6468,-70.7406,+5:45,Kathmandu,bob.simpson@example.com,1993-10-06T12:38:38.983Z,28,2016-09-16T07:51:05.987Z,5,(871)-222-2510,(744)-581-6791,SSN,654-36-7671,https://randomuser.me/api/portraits/men/4.jpg,https://randomuser.me/api/portraits/med/men/4.jpg,https://randomuser.me/api/portraits/thumb/men/4.jpg,US
female,Miss,Marlene,Burns,893,Fairview St,Van Alstyne,Nevada,United States,81156,51.3909,-49.5837,-10:00,Hawaii,marlene.burns@example.com,1989-09-13T00:28:32.428Z,32,2012-06-05T12:54:41.765Z,9,(082)-138-7876,(422)-063-3359,SSN,381-20-1430,https://randomuser.me/api/portraits/women/24.jpg,https://randomuser.me/api/portraits/med/women/24.jpg,https://randomuser.me/api/portraits/thumb/women/24.jpg,US
