gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Jesse,Ramirez,9904,Lone Wolf Trail,Caldwell,Maryland,United States,83738,-79.0199,-130.4337,+3:30,Tehran,jesse.ramirez@example.com,1976-05-18T09:44:39.128Z,45,2017-04-26T02:02:22.238Z,4,(184)-314-7484,(730)-567-6640,SSN,353-92-8677,https://randomuser.me/api/portraits/men/45.jpg,https://randomuser.me/api/portraits/med/men/45.jpg,https://randomuser.me/api/portraits/thumb/men/45.jpg,US
female,Miss,Sherri,Black,9983,Robinson Rd,Edison,Virginia,United States,57962,32.8149,155.0090,-10:00,Hawaii,sherri.black@example.com,1953-05-09T19:02:28.966Z,68,2006-11-11T22:45:49.927Z,15,(853)-669-4023,(151)-682-8356,SSN,378-81-2152,https://randomuser.me/api/portraits/women/70.jpg,https://randomuser.me/api/portraits/med/women/70.jpg,https://randomuser.me/api/portraits/thumb/women/70.jpg,US
female,Mrs,Vanessa,Hall,4837,Karen Dr,North Las Vegas,West Virginia,United States,28625,-73.3552,-99.7929,+5:45,Kathmandu,vanessa.hall@example.com,1961-04-07T01:32:48.538Z,60,2012-03-27T14:05:32.160Z,9,(046)-263-0486,(683)-862-2353,SSN,375-86-8342,https://randomuser.me/api/portraits/women/63.jpg,https://randomuser.me/api/portraits/med/women/63.jpg,https://randomuser.me/api/portraits/thumb/women/63.jpg,US
male,Mr,Mason,Jensen,764,Hamilton Ave,Bueblo,Rhode Island,United States,98843,-35.5277,95.5316,-9:00,Alaska,mason.jensen@example.com,1991-01-15T11:05:36.554Z,30,2012-01-06T14:38:02.535Z,9,(681)-265-9854,(044)-993-1791,SSN,428-97-4811,https://randomuser.me/api/portraits/men/30.jpg,https://randomuser.me/api/portraits/med/men/30.jpg,https://randomuser.me/api/portraits/thumb/men/30.jpg,US
female,Miss,Addison,Wallace,9484,E Pecan St,Tyler,Maine,United States,50431,-0.4538,-113.7298,-8:00,Pacific Time (US & Canada),addison.wallace@example.com,1964-02-29T23:43:47.171Z,57,2003-04-24T11:44:37.553Z,18,(319)-583-0571,(857)-948-7893,SSN,065-47-5617,https://randomuser.me/api/portraits/women/50.jpg,https://randomuser.me/api/portraits/med/women/50.jpg,https://randomuser.me/api/portraits/thumb/women/50.jpg,US
male,Mr,Philip,Gonzales,5983,Prospect Rd,Shelby,New York,United States,61613,84.5110,-68.5153,-10:00,Hawaii,philip.gonzales@example.com,1994-06-05T04:31:26.723Z,27,2014-04-29T22:20:23.729Z,7,(923)-590-1424,(048)-886-3403,SSN,452-81-1542,https://randomuser.me/api/portraits/men/47.jpg,https://randomuser.me/api/portraits/med/men/47.jpg,https://randomuser.me/api/portraits/thumb/men/47.jpg,US
male,Mr,Arron,Franklin,5719,Bruce St,Miramar,Pennsylvania,United States,37067,-61.2555,165.4090,-3:30,Newfoundland,arron.franklin@example.com,1990-12-09T08:36:08.133Z,31,2009-05-16T14:16:52.624Z,12,(363)-255-4973,(902)-187-7158,SSN,699-85-8421,https://randomuser.me/api/portraits/men/85.jpg,https://randomuser.me/api/portraits/med/men/85.jpg,https://randomuser.me/api/portraits/thumb/men/85.jpg,US
female,Mrs,Pearl,Snyder,9875,Royal Ln,Dallas,Illinois,United States,97654,75.4865,-134.1371,+5:45,Kathmandu,pearl.snyder@example.com,1989-11-03T22:20:14.857Z,32,2018-03-10T23:56:50.014Z,3,(941)-932-9394,(238)-054-9383,SSN,694-98-7861,https://randomuser.me/api/portraits/women/52.jpg,https://randomuser.me/api/portraits/med/women/52.jpg,https://randomuser.me/api/portraits/thumb/women/52.jpg,US
male,Mr,Ray,Pearson,4718,Fairview St,Sioux Falls,Maine,United States,54060,28.4557,-39.2965,-9:00,Alaska,ray.pearson@example.com,1955-02-26T10:47:54.398Z,66,2011-01-08T00:48:54.529Z,10,(967)-786-4951,(135)-600-7288,SSN,588-42-8221,https://randomuser.me/api/portraits/men/86.jpg,https://randomuser.me/api/portraits/med/men/86.jpg,https://randomuser.me/api/portraits/thumb/men/86.jpg,US
male,Mr,Leslie,Phillips,3054,Timber Wolf Trail,Portland,Delaware,United States,71141,10.1871,43.1591,-7:00,Mountain Time (US & Canada),leslie.phillips@example.com,1982-06-15T10:33:48.509Z,39,2007-01-27T09:10:32.015Z,14,(673)-292-5108,(624)-255-9590,SSN,413-83-1009,https://randomuser.me/api/portraits/men/73.jpg,https://randomuser.me/api/portraits/med/men/73.jpg,https://randomuser.me/api/portraits/thumb/men/73.jpg,US
